competitor,mean_rank,std_rank,min_rank,min_dists,max_rank,max_dists,rank_range,consistency,sorted_distributions
resnet|0.05_0.15_0.8|encoding,48.8082,17.0179,17.3333,constant,64.3333,highly_skewed,47.0,variable,constant:17.333;multimodal:44.071;approx_normal:50.0;heavy_tailed:57.444;moderately_skewed:59.667;highly_skewed:64.333
resnet|0.05_0.15_0.8|materialize,60.7564,9.6238,49.6667,constant,74.8889,moderately_skewed,25.2222,variable,constant:49.667;multimodal:52.571;highly_skewed:56.917;heavy_tailed:62.222;approx_normal:68.273;moderately_skewed:74.889
resnet|0.05_0.15_0.8|start,60.3945,11.0391,42.6667,constant,74.5556,moderately_skewed,31.8889,variable,constant:42.667;multimodal:53.571;highly_skewed:61.583;approx_normal:63.545;heavy_tailed:66.444;moderately_skewed:74.556
resnet|0.8_0.15_0.05|columnwise,31.2898,10.7569,13.3333,constant,43.8333,highly_skewed,30.5,variable,constant:13.333;moderately_skewed:27.0;heavy_tailed:29.111;multimodal:35.643;approx_normal:38.818;highly_skewed:43.833
resnet|0.8_0.15_0.05|decoding,72.3044,14.8553,53.2222,moderately_skewed,88.8889,heavy_tailed,35.6667,variable,moderately_skewed:53.222;multimodal:57.571;constant:68.333;highly_skewed:81.083;approx_normal:84.727;heavy_tailed:88.889
resnet|0.8_0.15_0.05|encoding,22.819,6.6567,12.3333,constant,31.7778,heavy_tailed,19.4444,variable,constant:12.333;approx_normal:20.727;multimodal:21.214;moderately_skewed:23.111;highly_skewed:27.75;heavy_tailed:31.778
resnet|0.8_0.15_0.05|materialize,31.1995,2.2491,27.6667,highly_skewed,34.2222,moderately_skewed,6.5556,variable,highly_skewed:27.667;approx_normal:30.364;multimodal:30.5;heavy_tailed:31.778;constant:32.667;moderately_skewed:34.222
resnet|0.8_0.15_0.05|start,35.3436,2.441,31.25,highly_skewed,38.0,heavy_tailed,6.75,variable,highly_skewed:31.25;multimodal:34.357;moderately_skewed:35.0;constant:36.0;approx_normal:37.455;heavy_tailed:38.0
scarf|0.05_0.15_0.8|columnwise,54.0665,18.9539,33.6667,highly_skewed,88.3333,constant,54.6667,variable,highly_skewed:33.667;multimodal:42.5;approx_normal:46.455;moderately_skewed:56.556;heavy_tailed:56.889;constant:88.333
scarf|0.05_0.15_0.8|decoding,70.4953,8.7319,60.75,highly_skewed,85.0,constant,24.25,variable,highly_skewed:60.75;multimodal:62.929;approx_normal:68.182;heavy_tailed:72.778;moderately_skewed:73.333;constant:85.0
scarf|0.05_0.15_0.8|encoding,53.4355,18.634,32.25,highly_skewed,86.6667,constant,54.4167,variable,highly_skewed:32.25;multimodal:41.929;approx_normal:47.545;heavy_tailed:55.222;moderately_skewed:57.0;constant:86.667
scarf|0.05_0.15_0.8|materialize,47.3796,19.5827,25.75,highly_skewed,83.3333,constant,57.5833,variable,highly_skewed:25.75;multimodal:36.214;approx_normal:42.091;heavy_tailed:47.444;moderately_skewed:49.444;constant:83.333
scarf|0.05_0.15_0.8|start,48.4377,20.3995,28.1667,highly_skewed,86.6667,constant,58.5,variable,highly_skewed:28.167;multimodal:35.5;approx_normal:42.182;heavy_tailed:48.333;moderately_skewed:49.778;constant:86.667
scarf|0.8_0.15_0.05|columnwise,31.4906,26.7268,14.6667,highly_skewed,84.6667,constant,70.0,variable,highly_skewed:14.667;heavy_tailed:18.0;moderately_skewed:19.0;multimodal:20.429;approx_normal:32.182;constant:84.667
